order_id,customer_id,amount
0,553235,2388
1,190546,1986
2,374956,419
3,411908,1693
4,854412,4600
5,651876,1032
6,232850,311
7,453882,2893
8,210091,2910
9,341523,1242
10,594253,3948
11,751927,1895
12,288142,4433
13,612992,4707
14,779187,3243
15,423463,488
16,275875,1072
17,324167,1705
18,871244,4737
19,568100,1987
20,533231,4964
21,831630,2150
22,983394,4738
23,168920,3194
24,579731,3780
25,496093,1614
26,972610,1286
27,981821,1451
28,161925,1436
29,575043,4461
30,820019,228
31,10932,4942
32,697957,1704
33,473547,3242
34,943291,4739
35,980878,182
36,6956,3698
37,385973,2413
38,230715,240
39,447010,1745
40,442074,4665
41,485729,4402
42,664356,3076
43,793196,2661
44,838637,1969
45,46393,1334
46,327468,253
47,406451,1427
48,766933,2045
49,91225,3976
50,123075,1321
51,243358,3491
52,860528,2474
53,863252,1468
54,466985,4933
55,632703,414
56,418422,321
57,254872,2347
58,140510,768
59,195002,2689
60,727104,1047
61,370057,3594
62,986868,3864
63,452342,1670
64,688773,2787
65,207834,2549
66,55818,843
67,355231,1705
68,835256,1783
69,776234,2375
70,205881,2943
71,934970,3780
72,200511,1646
73,346658,4181
74,81090,4214
75,472723,1518
76,729659,105
77,349152,735
78,632563,969
79,151220,4345
80,651417,2543
81,368332,4605
82,73875,4184
83,476569,4473
84,562746,2922
85,563190,1915
86,329309,1665
87,513549,1436
88,359034,1975
89,626169,757
90,691213,1280
91,849113,1257
92,610951,4933
93,49898,4373
94,177018,334
95,92351,1282
96,482658,2452
97,613700,921
98,795198,142
99,302409,1513
100,55619,2874
101,433564,527
102,750891,738
103,501201,2624
104,219112,1732
105,398905,3287
106,817172,3857
107,696638,4888
108,704867,2620
109,188814,4283
110,51467,2548
111,642902,3310
112,543223,3076
113,52555,390
114,757771,112
115,820919,4509
116,241246,3363
117,280018,3096
118,753129,516
119,69291,397
120,743583,2779
121,427834,180
122,636940,166
123,209733,829
124,476684,4047
125,685194,3515
126,415772,3484
127,662079,2325
128,234848,753
129,198493,864
130,726601,3124
131,530239,4128
132,777666,4130
133,556226,4525
134,480490,4938
135,218543,833
136,671602,892
137,813082,4454
138,997288,4633
139,976597,2606
140,284379,1562
141,391180,4972
142,683798,110
143,44479,1637
144,681788,1286
145,570922,255
146,29675,1757
147,875303,1432
148,18660,4217
149,855656,1172
150,877303,4900
151,647145,3114
152,593852,4823
153,947420,4265
154,766983,1119
155,298397,981
156,757896,300
157,462774,3727
158,783804,3897
159,244023,3102
160,832231,4270
161,285368,3467
162,927079,347
163,38594,2369
164,422848,393
165,700690,3175
166,104478,2464
167,38711,3616
168,336296,2994
169,372340,3905
170,825599,2315
171,276236,470
172,583503,3632
173,191808,1198
174,322584,2396
175,705830,2822
176,139960,608
177,613445,4190
178,803614,700
179,420973,3395
180,717043,2499
181,463871,4308
182,47896,1263
183,556948,619
184,227723,4288
185,423408,3759
186,685641,960
187,731221,4044
188,559022,4541
189,671392,655
190,681976,1694
191,614823,2085
192,677964,3485
193,264380,1893
194,538072,4753
195,539189,3175
196,513944,1240
197,25054,4929
198,640821,4123
199,469342,1062
200,234266,4553
201,736701,4644
202,78685,2747
203,419140,2683
204,523377,3364
205,225091,4772
206,236865,1148
207,441152,2492
208,465408,3309
209,572063,4400
210,319236,2688
211,497479,4835
212,36293,290
213,290492,4822
214,965946,2843
215,666291,1129
216,67694,1122
217,652374,406
218,368568,3628
219,818630,603
220,815021,4795
221,560869,2026
222,837504,3319
223,404557,641
224,352867,2040
225,801073,2277
226,985873,2651
227,86211,1722
228,832168,1991
229,568061,3394
230,516990,3171
231,344345,4844
232,241543,1617
233,357700,2282
234,261749,1848
235,473548,457
236,989624,2865
237,588341,3946
238,591004,4970
239,710641,761
240,82070,1769
241,354554,2225
242,894700,2151
243,187847,1017
244,474411,4193
245,368826,4821
246,997140,4383
247,611832,1890
248,727882,264
249,644848,2429
250,318270,2419
251,750141,2455
252,164079,4490
253,954568,530
254,419492,183
255,797182,415
256,35964,1315
257,340431,2993
258,529003,1485
259,11251,386
260,593330,1428
261,347225,2989
262,184442,4186
263,868827,3343
264,917387,1962
265,2133,1842
266,659109,3081
267,244217,2528
268,201153,2509
269,163478,1880
270,753870,416
271,432765,1482
272,552635,273
273,392705,4342
274,190416,3238
275,884271,125
276,976347,4620
277,208306,4592
278,699915,4906
279,500305,3452
280,170680,2058
281,365993,4033
282,439502,3708
283,287517,3004
284,831814,3853
285,254689,770
286,345037,4999
287,816962,2147
288,621795,2814
289,135723,1630
290,250716,4991
291,551040,3274
292,814214,3485
293,824651,4256
294,436623,3333
295,272568,2785
296,906443,1253
297,914647,3611
298,127819,1273
299,13984,2149
300,129621,1022
301,224511,4918
302,996762,4184
303,368147,1321
304,16075,4516
305,874384,2627
306,678700,3172
