"index","MONTH","YEAR","DAYS","REPORT_DATE","JOURNEY_TYPE","JOURNEYS_MILLIONS"
"0","1","2010","31","2010-06-30T00:00:00.000","Underground & DLR","96.83639076"
"1","2","2010","28","2010-06-30T00:00:00.000","Underground & DLR","90.33050361"
"2","3","2010","31","2010-06-30T00:00:00.000","Underground & DLR","90.03801412"
"3","4","2010","30","2010-09-30T00:00:00.000","Underground & DLR","92.5440925"
"4","5","2010","31","2010-09-30T00:00:00.000","Underground & DLR","88.66291085"
"5","6","2010","30","2010-09-30T00:00:00.000","Underground & DLR","86.3757023"
"6","7","2010","31","2010-12-31T00:00:00.000","Underground & DLR","94.98603486"
"7","8","2010","31","2010-12-31T00:00:00.000","Underground & DLR","97.02479406"
"8","9","2010","30","2010-12-31T00:00:00.000","Underground & DLR","97.02963968"
"9","10","2010","31","2011-03-31T00:00:00.000","Underground & DLR","77.36997907"
"10","11","2010","30","2011-03-31T00:00:00.000","Underground & DLR","90.6912942"
"11","12","2010","31","2011-03-31T00:00:00.000","Underground & DLR","94.25623237"
"12","1","2011","31","2011-06-30T00:00:00.000","Underground & DLR","97.63677178"
"13","2","2011","28","2011-06-30T00:00:00.000","Underground & DLR","94.10294338"
"14","3","2011","31","2011-06-30T00:00:00.000","Underground & DLR","94.98939582"
"15","4","2011","30","2011-09-30T00:00:00.000","Underground & DLR","98.90630154"
"16","5","2011","31","2011-09-30T00:00:00.000","Underground & DLR","91.7110092"
"17","6","2011","30","2011-09-30T00:00:00.000","Underground & DLR","91.7186178"
"18","7","2011","31","2011-12-31T00:00:00.000","Underground & DLR","100.5865731"
"19","8","2011","31","2011-12-31T00:00:00.000","Underground & DLR","103.1316347"
"20","9","2011","30","2011-12-31T00:00:00.000","Underground & DLR","104.1936729"
"21","10","2011","31","2012-03-31T00:00:00.000","Underground & DLR","84.50097107"
"22","11","2011","30","2012-03-31T00:00:00.000","Underground & DLR","96.70548698"
"23","12","2011","31","2012-03-31T00:00:00.000","Underground & DLR","98.46427621"
"24","1","2012","31","2012-06-30T00:00:00.000","Underground & DLR","95.63930738"
"25","2","2012","29","2012-06-30T00:00:00.000","Underground & DLR","99.96382228"
"26","3","2012","31","2012-06-30T00:00:00.000","Underground & DLR","96.64137128"
"27","4","2012","30","2012-09-30T00:00:00.000","Underground & DLR","104.8355659"
"28","5","2012","31","2012-09-30T00:00:00.000","Underground & DLR","113.6290531"
"29","6","2012","30","2012-09-30T00:00:00.000","Underground & DLR","102.6284804"
"30","7","2012","31","2012-12-31T00:00:00.000","Underground & DLR","105.8802169"
"31","8","2012","31","2012-12-31T00:00:00.000","Underground & DLR","108.3931857"
"32","9","2012","30","2012-12-31T00:00:00.000","Underground & DLR","109.5871702"
