"index","STAGE","TEAM_LOST"
"0"," Group stage: Matchday 1 ","Chelsea"
"1"," Group stage: Matchday 1 ","København"
"2"," Group stage: Matchday 1 ","Juventus"
"3"," Group stage: Matchday 1 ","Maccabi Haifa"
"4"," Group stage: Matchday 1 ","Rangers"
"5"," Group stage: Matchday 1 ","Liverpool"
"6"," Group stage: Matchday 1 ","Porto"
"7"," Group stage: Matchday 1 ","Bayer Leverkusen"
"8"," Group stage: Matchday 1 ","Viktoria Plze?"
"9"," Group stage: Matchday 1 ","Marseille"
"10"," Group stage: Matchday 2 ","Ajax"
"11"," Group stage: Matchday 2 ","Atletico Madrid"
"12"," Group stage: Matchday 2 ","Barcelona"
"13"," Group stage: Matchday 2 ","Tottenham Hotspur"
"14"," Group stage: Matchday 2 ","RB Leipzig"
"15"," Group stage: Matchday 3 ","Rangers"
"16"," Group stage: Matchday 3 ","Atletico Madrid"
"17"," Group stage: Matchday 3 ","Bayer Leverkusen"
"18"," Group stage: Matchday 3 ","Viktoria Plze?"
"19"," Group stage: Matchday 3 ","Barcelona"
"20"," Group stage: Matchday 3 ","Sporting CP"
"21"," Group stage: Matchday 3 ","Dinamo Zagreb"
"22"," Group stage: Matchday 3 ","AC Milan"
"23"," Group stage: Matchday 3 ","Celtic"
"24"," Group stage: Matchday 3 ","København"
"25"," Group stage: Matchday 3 ","Maccabi Haifa"
"26"," Group stage: Matchday 4 ","Juventus"
"27"," Group stage: Matchday 4 ","Ajax"
"28"," Group stage: Matchday 4 ","Eintracht Frankfurt"
"29"," Group stage: Matchday 5 ","Real Madrid"
"30"," Group stage: Matchday 5 ","København"
"31"," Group stage: Matchday 5 ","Juventus"
"32"," Group stage: Matchday 5 ","Maccabi Haifa"
"33"," Group stage: Matchday 5 ","Rangers"
"34"," Group stage: Matchday 5 ","Viktoria Plze?"
"35"," Group stage: Matchday 5 ","Marseille"
"36"," Group stage: Matchday 6 ","Napoli"
"37"," Group stage: Matchday 6 ","Atletico Madrid"
"38"," Group stage: Matchday 6 ","Internazionale"
"39"," Group stage: Matchday 6 ","Salzburg"
"40"," Group stage: Matchday 6 ","Dinamo Zagreb"
"41","Group stage: Matchday 6 ","Celtic"
"42","Group stage: Matchday 6 ","Sevilla"
"43"," Round of 16 first leg ","Chelsea"
"44"," Round of 16 first leg ","Tottenham"
"45"," Round of 16 first leg ","FC Porto"
"46"," Round of 16 second leg ","Paris Saint-Germain"
"47"," Round of 16 second leg ","Dortmund"
"48"," Round of 16 second leg ","Eintracht Frankfurt"
"49"," Round of 16 second leg ","Liverpool"
"50"," Round of 16 second leg ","Leipzig"
"51"," Quarter-finals first leg ","Napoli"
"52"," Quarter-finals first leg ","Chelsea"
"53"," Semi-finals second leg ","Real Madrid"
"54"," Semi-finals second leg ","Milan"
"55"," Final ","Inter"
